fit,user_id,item_id,weight_lbs,rating,rented_for,body_type,category,size,age,review_date,bust_size_num,bust_size_letter,height_in,review_month,review_day_of_month,review_year,recommend
fit,829124,2595752,140.0,10.0,party,hourglass,leggings,20,30.0,2016-05-16,34.0,3,67.0,5,16,2016,1
fit,729616,1064397,143.0,8.0,wedding,hourglass,gown,16,32.0,2015-10-07,34.0,4,63.0,10,7,2015,0
large,375120,973512,136.0,10.0,party,athletic,dress,4,35.0,2017-10-18,32.0,3,67.0,10,18,2017,1
large,871986,808736,125.0,8.0,work,straight & narrow,dress,8,32.0,2016-08-22,34.0,2,67.0,8,22,2016,0
large,468958,2410627,160.0,10.0,everyday,athletic,top,20,30.0,2017-06-29,36.0,3,66.0,6,29,2017,1
fit,297874,734229,128.0,8.0,wedding,apple,dress,12,29.0,2016-07-25,34.0,2,64.0,7,25,2016,0
small,41413,284665,145.0,10.0,wedding,straight & narrow,sheath,12,30.0,2015-10-24,34.0,3,72.0,10,24,2015,1
fit,755121,2158338,120.0,10.0,everyday,athletic,jacket,8,31.0,2017-12-15,32.0,4,64.0,12,15,2017,1
fit,494310,164593,140.0,10.0,wedding,hourglass,dress,16,30.0,2013-01-08,34.0,3,65.0,1,8,2013,1
fit,145839,187984,125.0,8.0,party,hourglass,dress,4,30.0,2017-09-25,34.0,3,68.0,9,25,2017,0
fit,158769,1896772,170.0,8.0,party,apple,dress,24,43.0,2014-10-12,38.0,4,68.0,10,12,2014,0
fit,855336,1982904,140.0,10.0,date,hourglass,sheath,14,39.0,2015-09-17,36.0,3,69.0,9,17,2015,1
fit,513184,164051,128.0,10.0,party,athletic,dress,8,30.0,2015-03-01,34.0,4,66.0,3,1,2015,1
fit,3596,1210233,120.0,8.0,wedding,full bust,gown,4,29.0,2015-08-18,32.0,4,65.0,8,18,2015,0
fit,42169,141688,121.0,10.0,formal affair,petite,gown,4,33.0,2014-04-30,34.0,0,61.0,4,30,2014,1
fit,657647,1259708,140.0,10.0,party,straight & narrow,dress,8,32.0,2017-09-26,36.0,0,68.0,9,26,2017,1
large,545532,2884139,127.0,8.0,work,hourglass,jumpsuit,8,33.0,2015-12-04,32.0,4,64.0,12,4,2015,0
large,754176,2884139,115.0,8.0,party,athletic,jumpsuit,4,32.0,2016-04-05,34.0,0,66.0,4,5,2016,0
fit,869248,227818,115.0,10.0,date,hourglass,sheath,4,31.0,2014-10-18,34.0,2,62.0,10,18,2014,1
fit,569032,272388,110.0,10.0,party,petite,dress,1,34.0,2017-08-08,36.0,2,63.0,8,8,2017,1
fit,801919,1274956,120.0,10.0,wedding,petite,dress,4,27.0,2017-10-25,32.0,3,62.0,10,25,2017,1
large,134802,1117289,115.0,10.0,work,straight & narrow,dress,4,40.0,2017-07-30,32.0,3,68.0,7,30,2017,1
fit,593205,1567231,135.0,10.0,formal affair,athletic,sheath,14,45.0,2017-10-04,36.0,3,64.0,10,4,2017,1
fit,45781,2076266,110.0,8.0,work,petite,pants,4,39.0,2017-12-12,32.0,2,62.0,12,12,2017,0
fit,584966,424691,115.0,8.0,wedding,straight & narrow,sheath,1,29.0,2017-05-17,32.0,3,66.0,5,17,2017,0
fit,911002,2578061,121.0,10.0,everyday,athletic,jacket,4,51.0,2016-11-11,34.0,2,66.0,11,11,2016,1
fit,315096,1484383,170.0,10.0,formal affair,hourglass,dress,24,28.0,2015-03-18,36.0,4,63.0,3,18,2015,1
fit,343735,1708327,160.0,10.0,wedding,full bust,dress,16,40.0,2017-08-21,34.0,4,69.0,8,21,2017,1
small,350207,2899540,170.0,8.0,everyday,athletic,blouse,20,22.0,2017-11-10,36.0,4,72.0,11,10,2017,0
large,126304,730008,125.0,10.0,wedding,hourglass,dress,8,30.0,2015-05-10,34.0,4,64.0,5,10,2015,1
small,34055,1880626,140.0,8.0,formal affair,athletic,sheath,16,49.0,2015-10-26,38.0,3,64.0,10,26,2015,0
fit,876766,137585,130.0,10.0,party,hourglass,sheath,4,35.0,2014-12-07,32.0,3,67.0,12,7,2014,1
fit,500850,124204,130.0,10.0,party,hourglass,dress,8,53.0,2011-12-28,34.0,4,63.0,12,28,2011,1
fit,137241,466603,200.0,10.0,formal affair,full bust,gown,32,40.0,2015-03-02,38.0,4,67.0,3,2,2015,1
small,676222,1346753,135.0,10.0,work,athletic,dress,28,48.0,2016-12-29,36.0,2,68.0,12,29,2016,1
fit,636657,1108814,150.0,10.0,formal affair,hourglass,dress,20,41.0,2017-05-22,34.0,4,64.0,5,22,2017,1
fit,394195,2725374,129.0,10.0,everyday,hourglass,top,8,40.0,2017-10-07,34.0,3,67.0,10,7,2017,1
fit,757303,859889,150.0,10.0,wedding,athletic,dress,16,28.0,2016-11-14,36.0,3,66.0,11,14,2016,1
fit,126127,199231,125.0,8.0,party,straight & narrow,dress,12,45.0,2013-05-21,34.0,4,65.0,5,21,2013,0
fit,736856,197170,115.0,10.0,wedding,petite,dress,1,28.0,2015-08-05,34.0,4,63.0,8,5,2015,1
fit,904958,208647,125.0,10.0,other,full bust,dress,8,48.0,2015-05-06,34.0,4,65.0,5,6,2015,1
large,43980,442171,130.0,10.0,other,athletic,shift,4,30.0,2016-06-06,34.0,3,66.0,6,6,2016,1
fit,426047,2163773,125.0,10.0,party,athletic,jumpsuit,4,41.0,2017-07-23,34.0,3,64.0,7,23,2017,1
fit,443596,1260731,155.0,10.0,party,pear,dress,14,31.0,2016-03-23,36.0,2,66.0,3,23,2016,1
small,519050,925665,130.0,10.0,party,athletic,dress,14,41.0,2015-01-12,32.0,2,67.0,1,12,2015,1
fit,641687,126335,150.0,8.0,party,hourglass,dress,16,31.0,2012-11-19,34.0,2,66.0,11,19,2012,0
small,209886,1238932,125.0,8.0,wedding,pear,dress,8,31.0,2016-06-10,34.0,0,64.0,6,10,2016,0
large,283927,1212992,128.0,10.0,wedding,athletic,sheath,4,35.0,2016-04-09,34.0,2,63.0,4,9,2016,1
large,600375,193179,110.0,8.0,wedding,straight & narrow,dress,1,35.0,2015-10-26,32.0,3,65.0,10,26,2015,0
large,710825,1505204,114.0,8.0,wedding,petite,dress,4,45.0,2017-10-02,34.0,4,61.0,10,2,2017,0
fit,601087,126335,150.0,10.0,other,hourglass,dress,8,33.0,2013-09-04,34.0,3,72.0,9,4,2013,1
fit,102623,1425193,155.0,10.0,party,petite,dress,14,42.0,2016-06-16,38.0,4,63.0,6,16,2016,1
fit,284546,846616,145.0,10.0,formal affair,straight & narrow,dress,12,29.0,2016-11-21,34.0,0,68.0,11,21,2016,1
fit,316225,472922,150.0,10.0,wedding,hourglass,dress,12,29.0,2017-04-11,34.0,3,68.0,4,11,2017,1
small,54154,1665000,135.0,8.0,wedding,athletic,dress,16,55.0,2014-04-06,34.0,2,67.0,4,6,2014,0
fit,20659,2340200,95.0,10.0,everyday,petite,sweater,4,44.0,2016-01-27,30.0,4,62.0,1,27,2016,1
small,787644,395702,155.0,10.0,party,hourglass,dress,24,32.0,2017-11-16,34.0,4,65.0,11,16,2017,1
