fit,user_id,item_id,weight_lbs,rating,rented_for,body_type,category,size,age,review_date,bust_size_num,bust_size_letter,height_in,review_month,review_day_of_month,review_year,recommend
large,533900,130259,135.0,8.0,wedding,pear,dress,8,30.0,2013-01-07,34.0,2,66.0,1,7,2013,0
fit,85200,875667,140.0,8.0,other,,dress,8,30.0,2017-10-21,32.0,5,66.0,10,21,2017,0
small,126879,1406963,155.0,4.0,wedding,pear,dress,28,38.0,2017-06-20,36.0,3,64.0,6,20,2017,0
fit,214108,2872079,105.0,10.0,everyday,petite,jacket,4,43.0,2016-11-23,32.0,4,62.0,11,23,2016,1
fit,970594,1048184,115.0,10.0,vacation,hourglass,dress,8,45.0,2017-09-19,34.0,3,61.0,9,19,2017,1
large,383116,126335,128.0,10.0,formal affair,full bust,dress,4,48.0,2014-06-08,34.0,4,68.0,6,8,2014,1
small,53744,714374,128.0,10.0,formal affair,athletic,dress,12,33.0,2016-07-17,34.0,3,64.0,7,17,2016,1
fit,669880,1896920,134.0,10.0,formal affair,hourglass,gown,16,27.0,2015-03-07,34.0,3,66.0,3,7,2015,1
fit,486976,1414750,155.0,8.0,party,athletic,sheath,14,32.0,2017-11-20,36.0,3,69.0,11,20,2017,0
small,358518,722678,160.0,10.0,work,athletic,dress,16,37.0,2017-06-06,34.0,3,66.0,6,6,2017,1
fit,1066,125564,165.0,10.0,party,pear,gown,23,53.0,2014-03-09,38.0,2,62.0,3,9,2014,1
fit,189386,1111873,135.0,10.0,wedding,athletic,dress,8,30.0,2017-09-28,36.0,2,68.0,9,28,2017,1
fit,130278,125564,145.0,8.0,wedding,athletic,gown,12,36.0,2015-03-24,36.0,2,66.0,3,24,2015,0
large,70197,174086,,8.0,wedding,petite,dress,1,31.0,2014-10-08,32.0,3,63.0,10,8,2014,0
fit,915696,757774,140.0,10.0,formal affair,hourglass,gown,12,23.0,2017-02-07,34.0,5,64.0,2,7,2017,1
large,585892,2130194,115.0,8.0,everyday,straight & narrow,pullover,8,47.0,2016-10-13,,,63.0,10,13,2016,0
fit,762967,180843,118.0,10.0,formal affair,hourglass,dress,8,29.0,2015-03-18,32.0,2,63.0,3,18,2015,1
fit,344452,938882,,4.0,everyday,,dress,24,30.0,2017-12-05,36.0,5,,12,5,2017,0
fit,30803,1896920,125.0,10.0,formal affair,athletic,gown,12,33.0,2014-12-06,34.0,2,67.0,12,6,2014,1
small,292394,1280715,120.0,10.0,everyday,hourglass,dress,4,35.0,2017-03-20,34.0,3,66.0,3,20,2017,1
small,962784,478490,105.0,10.0,other,petite,dress,1,28.0,2016-07-26,34.0,2,59.0,7,26,2016,1
fit,482088,767710,111.0,10.0,wedding,straight & narrow,dress,4,28.0,2017-05-08,34.0,1,65.0,5,8,2017,1
fit,413827,1875650,155.0,10.0,other,hourglass,dress,20,46.0,2017-11-15,36.0,3,65.0,11,15,2017,1
fit,986552,1056174,133.0,10.0,work,hourglass,dress,16,35.0,2016-03-18,34.0,2,67.0,3,18,2016,1
fit,911002,2578061,121.0,10.0,everyday,athletic,jacket,4,51.0,2016-11-11,34.0,2,66.0,11,11,2016,1
fit,244746,1754771,122.0,10.0,formal affair,athletic,gown,4,38.0,2017-08-27,34.0,3,64.0,8,27,2017,1
large,871911,780380,135.0,6.0,other,athletic,dress,8,32.0,2017-09-27,32.0,3,69.0,9,27,2017,0
fit,726388,1961311,150.0,10.0,party,apple,gown,17,29.0,2017-11-04,36.0,3,63.0,11,4,2017,1
fit,405772,1881176,170.0,8.0,wedding,athletic,gown,25,31.0,2016-10-19,36.0,2,69.0,10,19,2016,0
large,452273,2900163,145.0,10.0,other,hourglass,blouse,20,26.0,2017-03-19,34.0,4,68.0,3,19,2017,1
fit,369514,1776178,136.0,10.0,date,pear,dress,12,34.0,2016-06-29,34.0,1,65.0,6,29,2016,1
fit,796073,136110,155.0,8.0,wedding,athletic,dress,4,36.0,2015-01-05,34.0,3,69.0,1,5,2015,0
small,676222,1346753,135.0,10.0,work,athletic,dress,28,48.0,2016-12-29,36.0,2,68.0,12,29,2016,1
fit,165303,141548,128.0,10.0,party,athletic,gown,9,38.0,2014-11-07,34.0,4,68.0,11,7,2014,1
fit,267418,130259,,10.0,party,hourglass,dress,24,34.0,2013-09-17,36.0,3,69.0,9,17,2013,1
fit,835371,2396750,140.0,10.0,vacation,full bust,jumpsuit,8,38.0,2015-11-15,,,68.0,11,15,2015,1
fit,491174,624407,136.0,8.0,vacation,hourglass,sheath,8,46.0,2014-10-31,34.0,4,70.0,10,31,2014,0
small,492542,1146287,160.0,8.0,wedding,pear,gown,20,31.0,2017-01-12,,,61.0,1,12,2017,0
fit,290985,124204,117.0,10.0,party,hourglass,dress,4,30.0,2015-12-03,32.0,3,63.0,12,3,2015,1
large,283927,1212992,128.0,10.0,wedding,athletic,sheath,4,35.0,2016-04-09,34.0,2,63.0,4,9,2016,1
fit,718167,833666,145.0,8.0,wedding,hourglass,dress,12,24.0,2016-07-23,34.0,2,66.0,7,23,2016,0
fit,357263,1122460,103.0,10.0,party,petite,sheath,1,59.0,2018-01-04,,,62.0,1,4,2018,1
fit,753165,1869056,120.0,10.0,wedding,hourglass,dress,1,32.0,2017-07-23,32.0,4,67.0,7,23,2017,1
fit,791588,1858651,150.0,10.0,party,petite,dress,20,30.0,2017-06-27,36.0,4,60.0,6,27,2017,1
fit,379315,132135,135.0,10.0,formal affair,hourglass,gown,12,39.0,2015-12-01,34.0,3,67.0,12,1,2015,1
small,94312,2531493,163.0,10.0,party,,jumpsuit,21,40.0,2017-03-07,38.0,4,65.0,3,7,2017,1
fit,15686,1630965,140.0,10.0,formal affair,,gown,9,35.0,2016-12-19,,,70.0,12,19,2016,1
fit,272721,1793868,,8.0,wedding,,gown,8,33.0,2015-10-29,34.0,5,63.0,10,29,2015,0
fit,17293,884737,120.0,10.0,party,straight & narrow,dress,4,31.0,2017-01-05,34.0,1,65.0,1,5,2017,1
small,948168,1737394,135.0,8.0,work,athletic,dress,12,32.0,2015-06-04,34.0,3,66.0,6,4,2015,0
fit,947001,280734,130.0,10.0,formal affair,athletic,shift,4,37.0,2016-05-07,34.0,3,64.0,5,7,2016,1
large,225791,883661,145.0,8.0,party,hourglass,dress,12,34.0,2017-10-24,32.0,4,65.0,10,24,2017,0
small,300996,729362,,4.0,wedding,hourglass,dress,16,31.0,2015-06-22,36.0,4,67.0,6,22,2015,0
large,845608,1314014,120.0,8.0,wedding,athletic,dress,4,41.0,2016-06-11,34.0,2,64.0,6,11,2016,0
fit,819042,259934,155.0,10.0,party,pear,sheath,20,32.0,2017-11-18,34.0,3,68.0,11,18,2017,1
large,723704,1009546,185.0,4.0,wedding,hourglass,dress,24,23.0,2017-07-30,36.0,4,66.0,7,30,2017,0
fit,304292,172027,120.0,8.0,formal affair,hourglass,dress,12,24.0,2013-06-21,32.0,4,60.0,6,21,2013,0
